เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"1383/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/13/05 00:00:00"											0							
"1387/2548"	"ฟ้องศาล"	0	1	1	0	0	"05/16/05 00:00:00"											0							
"ว.1985/2548"	"ฟ้องศาล"	1	0	1	0	0	"08/11/05 00:00:00"		"08/17/05 00:00:00"									0							
"2193/2548"	"ฟ้องศาล    11  สิงหาคม   2548"	1	0	1	0	0	"08/10/05 00:00:00"											0							
"2229/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/11/05 00:00:00"											0							
"2249/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/09/05 00:00:00"											0							
"2224/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	0	1	1	0	0	"08/08/05 00:00:00"											0							
"2160/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/03/05 00:00:00"											0							
"2225/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/10/05 00:00:00"											0							
"2163/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/10/05 00:00:00"											0							
"2245/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/09/05 00:00:00"											0							
"2166/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/10/05 00:00:00"											0							
"2162/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	1	0	1	0	0	"08/10/05 00:00:00"											0							
"2159/2548"	"ฟ้องศาล    11  สิงหาคม  2548"	0	0	1	0	0	"08/02/05 00:00:00"											0							
