เลขรับ	ผลของการสั่งคดี	ฟ้องชาย	ฟ้องหญิง	ฟ้อง	ไม่ฟ้อง	อื่นๆ	วันสั่ง	เหตุผลที่สั่งไม่ฟ้อง	วันเสนอ	คำสั่งของกลาง	เหตุผลที่ไม่ริบของกลาง	วันแจ้งเขตของกลาง	สอบเพิ่มเติม	วันแจ้งเขตอก54	เหตุที่ค้าง	ครั้งที่เตือน	วันที่เตือน	อายุความ	วันแจ้งของกลาง	เลขออกอก46	วันที่สำนวนไป	ทีอยู่สำนวน	เก็บไม่ฟ้อง	เก็บสั่งจับ	ข้อเท็จจริง
"ว.1365/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/26/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1364/2548"	"ฟ้องศาล"	2	1	2	0	0	"05/26/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1363/2548"	"ฟ้องศาล"	2	3	5	0	0	"05/26/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1362/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/25/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1361/2548"	"ฟ้องศาล"	0	0	3	0	0												0							
"ว.1360/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/25/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1359/2548"	"ฟ้องศาล"	0	4	3	0	0	"05/25/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1358/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/25/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1357/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/25/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1356/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/25/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1355/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1354/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1353/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1352/2548"	"ฟ้องศาล"	0	0	3	0	0												0							
"ว.1350/2548"	"ฟ้องศาล"	0	0	3	0	0												0							
"ว.1349/2548"	"ฟ้องศาล"	1	4	5	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1348/2548"	"ฟ้องศาล"	1	3	4	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1931/2548"	"ฟ้องศาล"	0	1	1	0	0	"08/06/05 00:00:00"		"08/17/05 00:00:00"									0							
"ว.1345/2548"	"ฟ้องศาล"	0	1	1	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1344/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1343/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1342/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1341/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1340/2548"	"ฟ้องศาล"	0	1	1	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1339/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1328/2548"	"ฟ้องศาล"	0	3	3	0	0	"05/20/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1325/2548"	"ฟ้องศาล"	0	0	3	0	0												0							
"ว.1321/2548"	"ฟ้องศาล"		1	1	0	0	"05/19/05 00:00:00"		"08/08/05 00:00:00"									0							
"ว.1320/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1319/2548"	"ฟ้องศาล"	0	0	2	0	0												0							
"ว.1315/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1314/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1313/2548"	"ฟ้องศาล"	0	0	1	0	0	"05/18/05 00:00:00"											0							
".2321/2548"	"ฟ้องศาล"	1	0	1	0	0												0							
".2575/2548"	"ฟ้องศาล"	1	0	1	0	0												0							
"1004/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1293/2548"	"ฟ้องศาล"	0	0	0	0	0												0							
"ว.1300/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1303/2548"	"ฟ้องศาล"	0	0	2	0	0												0							
"ว.1306/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/18/05 00:00:00"											0							
"ว.1018/2548"	"ฟ้องศาล"	0	0	4	0	0												0							
"ว.1049/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"2099/2548"	"สั่งไม่ฟ้องผู้ต้องหา   แจ้งตามหนังสือที่ อส(สก)0031/                  ลงวันที่"	0	0	0	1	0	"08/11/05 00:00:00"	"สั่งไม่ฟ้องข้อหาพยายามฆ่า เพราะพยานหลักฐานไม่พอฟ้อง"	"08/24/05 00:00:00"				"                          ให้สอบสวนผู้เสียหายและ ด.ต.วิชัย  สุนทรวิเศษ ให้ได้ความโดยละเอียดถึงสภาพถนนที่เกิดเหตุ  แสงสว่าง สัญลักษณ์หรือเครื่องหมายการตั้งด่านสกัดของเจ้าหน้าที่ตำรวจ จุดที่ผู้เสียหายให้สัญญาณให้รถผู้ต้องหาหยุด ช่องทางเดินรถแต่ละช่องทางที่รถผู้ต้องหาขับมาก่อนถึงจุดที่ผู้เสียหายให้สัญญาณหยุดรถ

                          ทั้งนี้ ให้รีบส่งผลการสอบสวนเพิ่มเติมภายในวันที่  4  สิงหาคม  2548 นี้ด้วย"					0							
"ว.1274/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1316/2548"	"ฟ้องศาล"	0	0	2	0	0												0							
"ว.1327/2548"	"ฟ้องศาล"	4	0	3	0	0	"05/20/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1335/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/22/05 00:00:00"		"05/27/05 00:00:00"									0							
"ว.1346/2548"	"ฟ้องศาล"	0	1	1	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1369/2548"	"ฟ้องศาล"	2	0	2	0	0	"06/26/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1393/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1402/2548"	"ฟ้องศาล"	0	0	3	0	0												0							
"ว.1403/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"ว.1404/2548"	"ฟ้องศาล"	0	0	1	0	0												0							
"2509/2548"	"ฟ้องศาล    13  กันยายน   2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2546/2548"	"ฟ้องศาล    13  กันยายน  2548"	1	0	1	0	0	"09/06/05 00:00:00"											0							
"2566/2548"	"ฟ้องศาล    13  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2586/2548"	"ฟ้องศาล    13  กันยายน  2548"	1	0	1	0	0	"09/12/05 00:00:00"											0							
"2596/2548"	"ฟ้องศาล    13  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2610/2548"	"ฟ้องศาล    13  กันยายน  2548"	1	0	1	0	0	"09/08/05 00:00:00"											0							
"2598/2548"	"ฟ้องศาล    13  กันยายน  2548"	0	1	1	0	0	"09/13/05 00:00:00"											0							
"2595/2548"	"ฟ้องศาล 7  กันยายน 2548"	1	0	0	0	0												0							
"2612/2548"	"ฟ้องศาล    13  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2671/2548"	"ฟ้องศาล    14  กันยายน  2548"		1	1	0	0	"09/13/05 00:00:00"											0							
"2510/2548"	"ฟ้องศาล    14  กันยายน  2548"	0	1	1	0	0	"09/14/05 00:00:00"											0							
"2511/2548"	"ฟ้องศาล    14  กันยายน  2548"	0	1	1	0	0	"09/14/05 00:00:00"											0							
"2336/2548"	"ฟ้องศาล    17  สิงหาคม  2548"	0	0	1	0	0	"08/16/05 00:00:00"	"สั่งไม่ฟ้องฐานมีเมทแอมเฟตามีนเพราะพยานหลักฐานไม่พอฟ้อง"	"08/24/05 00:00:00"									0							
"2550/2548"	"ฟ้องศาล    14  กันยายน  2548"	1	0	1	0	0	"09/07/05 00:00:00"											0							
"2551/2548"	"ฟ้องศาล    14  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2553/2548"	"ฟ้องศาล    14  กัสนยายน  2548"	1	0	1	0	0	"09/06/05 00:00:00"											0							
"2555/2548"	"ฟ้องศาล    14  กันยายน  2548"	3	0	3	0	0	"09/12/05 00:00:00"											0							
"2556/2548"	"ฟ้องศาล    14  กันยายน  2548"	1	0	1	0	0	"09/06/05 00:00:00"											0							
"2600/2548"	"ฟ้องศาล    14  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2585/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/12/05 00:00:00"											0							"  นัดพร้อม  วันที่  10  ตุลาคม  2548"
"ว.2283/2548"	"ฟ้องศาล"	2	1	3	0	0	"09/12/05 00:00:00"											0							
"ว.2282/2548"	"ฟ้องศาล"	2	2	4	0	0	"09/13/05 00:00:00"											0							
"ว.2281/2548"	"ฟ้องศาล"	0	3	3	0	0	"09/13/05 00:00:00"											0							
"ว.2280/2548"	"ฟ้องศาล"	6	1	7	0	0	"09/13/05 00:00:00"											0							
"ว.2279/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/13/05 00:00:00"											0							
"ว.2278/2548"	"ฟ้องศาล"	0	6	6	0	0	"09/13/05 00:00:00"											0							
"ว.2277/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2474/2548"	"ฟ้องศาล    14  กันยายน  2548"	0	1	2	0	0	"09/13/05 00:00:00"											0							
"2552/2548"	"ฟ้องศาล    14  กันยายน  2548"	2	0	2	0	0	"09/07/05 00:00:00"											0							
"2554/2548"	"ฟ้องศาล    14  กันยายน  2548"	0	1	1	0	0	"09/14/05 00:00:00"											0							
"2576/2548"	"ฟ้องศาล    14  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2614/2548"	"ฟ้องศาล   14  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2634/2548"	"ฟ้องศาล"	1	0	0	0	0												0							
"1915/2548"	"ฟ้องศาล    15  กันบยายน  2548"	2	1	3	0	0	"09/15/05 00:00:00"											0							
"2200/2548"	"ฟ้องศาล    24  สิงหาคม  2548"	0	0	1	0	0	"08/17/05 00:00:00"						"                    ให้แจ้งข้อหาพาอาวุธปืนติดตัวไปในเมือง หมู่บ้าน และทางสาธาณะโดยไม่ได้รับอนุญาต ตามพระราชบัญญัติอาวุธปืนฯ พ.ศ. 2490 มาตรา 8 ทวิ, 72 ทวิ ให้ผู้ต้องหาทราบเพิ่มเติม พร้อมกับสอบคำให้การผู้ต้องหาและทำความเห็นสั่งคดีเกี่ยวกับข้อหาดังกล่าวด้วย

                    ให้ส่งผลการสอบสวนเพิ่มเติมภายในวันที่  9  สิงหาคม  2548"					0							
"2463/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"08/29/05 00:00:00"											0							
"2557/2548"	"ฟ้องศาล    15  กันยายน  2548"	0	1	1	0	0	"09/14/05 00:00:00"											0							
"2567/2548"	"ฟ้องศาล     15  กันยายน  2548"	1	0	1	0	0	"09/06/05 00:00:00"											0							
"2569/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/06/05 00:00:00"											0							
"2570/2548"	"ฟ้องศาล    15  กันยายน  2548"	0	1	1	0	0	"09/13/05 00:00:00"											0							
"2587/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/12/05 00:00:00"											0							
"2601/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/12/05 00:00:00"											0							
"2602/2548"	"ฟ้องศาล    15  กันยายน  2548"		1	1	0	0	"09/12/05 00:00:00"											0							
"2603/2548"	"ฟ้องศาล     15  กันยายน  2548"	1	1	2	0	0	"09/14/05 00:00:00"											0							
"2604/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2605/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2606/2548"	"ฟ้องศาล    15  กันยายน  2548"	0	1	1	0	0	"09/08/05 00:00:00"											0							
"2609/2548"	"ฟ้องศาล    15  กันยายน  2548"	0	1	1	0	0	"09/08/05 00:00:00"											0							
"2613/2548"	"ฟ้องศาล 15 กันยายน  2548"	3	1	3	0	0	"09/12/05 00:00:00"											0							
"2615/2548"	"ฟ้องศาล    15  กันยายน  2548"	0	1	1	0	0	"09/13/05 00:00:00"											0							
"2616/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2637/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/15/05 00:00:00"		"11/03/05 00:00:00"									0							
"2645/2548"	"ฟ้องศาล    15  กันยายน  2548"	2	0	2	0	0	"09/14/05 00:00:00"											0							
"2646/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2079/2548"	"ฟ้องศาล    4  สิงหาคม  2548"	0	1	1	0	0	"07/26/05 00:00:00"											0							
"2647/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/12/05 00:00:00"											0							
"2648/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2571/2548"	"ฟ้องศาล    15  กันยายน  2548"	2	0	1	0	0	"09/13/05 00:00:00"											0							
"2685/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/15/05 00:00:00"											0							
"2686/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"09/15/05 00:00:00"		"11/03/05 00:00:00"									0							
"2589/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2590/2548"	"ฟ้องศาล    16  กันยายน  2548"	0	2	2	0	0	"09/15/05 00:00:00"											0							
"2622/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2649/2548"	"ฟ้องศาล    16  กันบยายน  2548"	1	0	1	0	0	"09/16/05 00:00:00"											0							
"2515/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/16/05 00:00:00"											0							
"2240/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/15/05 00:00:00"											0							
"2558/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/15/05 00:00:00"											0							
"2559/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/07/05 00:00:00"											0							
"2572/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/07/05 00:00:00"											0							
"2573/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/07/05 00:00:00"											0							
"2574/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/06/05 00:00:00"											0							
"2588/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/07/05 00:00:00"											0							
"2618/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2621/2548"	"ฟ้องศาล    16  กันยายน  2548"	0	1	1	0	0	"09/16/05 00:00:00"											0							
"2619/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/16/05 00:00:00"											0							
"2323/2548"	"ฟ้องศาล    15  กันยายน  2548"	1	0	1	0	0	"08/16/05 00:00:00"						"                    1. แจ้งข้อหาเพิมเติมแก่ผู้ต้องหา ฐานมียาเสพติดให้โทษประเภท 1 ไว้ในความครอบครองเพื่อจำหน่ายโดยฝ่าฝืนต่อกฎหมาย
                    2.  สอบถามคำให้การของผู้ต้องหา
                    ทั้งนี้ ให้พนักงานสอบสวนส่งผลการสอบสวนเพิ่มเติมมายังพนักงานอัยการภายในวันที่  22  สิงหาคม 2548"					0							
"2620/2548"	"ฟ้องศาล    16  กันยายน  2548"	0	1	1	0	0	"09/15/05 00:00:00"											0							
"2624/2548"	"ฟ้องศาล    16  กันยายน  2548"	0	1	1	0	0	"09/14/05 00:00:00"											0							
"2638/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/16/05 00:00:00"											0							
"2643/2548"	"ฟ้องศาล    16  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2676/2548"	"ฟ้องศาล  14  กันยายน  2548"	1	0	0	0	0												0							
"2623/2548"	"ฟ้องศาล    19  กันยายน  2548"	1	0	1	0	0	"09/09/05 00:00:00"											0							
"2625/2548"	"ฟ้องศาล    19  กันยายน  2548"	0	0	1	0	0	"09/14/05 00:00:00"											0							
"2626/2548"	"ฟ้องศาล    19  กันยายน  2548"	1	0	1	0	0	"09/19/05 00:00:00"											0							
"2627/2548"	"ฟ้องศาล    19  กันยายน  2548"	1	0	1	0	0	"09/13/05 00:00:00"											0							
"2628/2548"	"ฟ้องศาล    19  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2673/2548"	"ฟ้องศาล    19  กันยายน  2548"	1	0	1	0	0	"09/19/05 00:00:00"											0							
"2714/2548"	"ฟ้องศาล    22  กันยายน  2548"	1	1	2	0	0	"09/21/05 00:00:00"											0							
"2674/2548"	"ฟ้องศาล    20  กันยายน  2548"	0	1	1	0	0	"09/16/05 00:00:00"											0							
"ว.2292/2548"	"ฟ้องศาล"	3	3	6	0	0	"09/16/05 00:00:00"											0							
"2639/2548"	"ฟ้องศาล    20  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2473/2548"	"ฟ้องศาล    20  กันยายน  2548"	1	0	1	0	0	"09/07/05 00:00:00"											0							
"ว.2293/2548"	"ฟ้องศาล"	2	2	4	0	0	"09/16/05 00:00:00"											0							
"ว.2297/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/17/05 00:00:00"											0							
"ว.2298/2548"	"ฟ้องศาล"	3	0	3	0	0	"09/17/05 00:00:00"											0							
"ว.2299/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/17/05 00:00:00"											0							
"ว.2300/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/17/05 00:00:00"											0							
"1809/2548"	"ฟ้องศาล    29  มิถุนายน  2548"	1	0	1	0	0	"06/28/05 00:00:00"											0							
"ว.2301/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/17/05 00:00:00"											0							
"ว.2302/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/17/05 00:00:00"											0							
"ว.2303/2548"	"ฟ้องศาล"	8	2	10	0	0	"09/17/05 00:00:00"											0							
"ว.2304/2548"	"ฟ้องศาล"	5	0	5	0	0	"09/17/05 00:00:00"											0							
"ว.2305/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/17/05 00:00:00"											0							
"ว.2306/2548"	"ฟ้องศาล"	1	3	4	0	0	"09/17/05 00:00:00"											0							
"ว.2294/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/17/05 00:00:00"											0							
"ว.2296/2548"	"ฟ้องศาล"	2	0	2	0	0	"09/17/05 00:00:00"											0							
"ว.2295/2548"	"ควรสั่งฟ้อง  ผู้ต้องหาหลบหนี  ขอให้จัดการให้ได้ตัวตามหนังสือที่ อส(ชบ)0032/                  ลงวันที่"	7	0	6	0	0	"09/17/05 00:00:00"											0							
"ว.2001/2548"	"ฟ้องศาล"	1	0	1	0	0	"08/15/05 00:00:00"											0							
"ว.2287/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/15/05 00:00:00"											0							
"ว.2288/2548"	"ฟ้องศาล"	4	0	4	0	0	"09/15/05 00:00:00"											0							
"ว.2289/2548"	"ฟ้องศาล"	5	0	5	0	0	"09/15/05 00:00:00"											0							
"ว.2290/2548"	"ฟ้องศาล"	0	5	5	0	0	"09/15/05 00:00:00"											0							
"ว.2286/2548"	"ฟ้องศาล"	4	4	8	0	0	"09/14/05 00:00:00"											0							
"1902/2548"	"ฟ้องศาล            20    กันยายน     2548"	4	0	4	0	0	"07/26/05 00:00:00"											0							
"2560/2548"	"ฟ้องศาล    20  กันยายน  2548"	0	1	1	0	0	"09/06/05 00:00:00"											0							
"ว.2285/2548"	"ฟ้องศาล"	0	8	8	0	0	"09/14/05 00:00:00"											0							
"ว.2284/2548"	"ฟ้องศาล"	2	3	5	0	0	"09/14/05 00:00:00"											0							
"2196/2548"	"ฟ้องศาล    20  กันยายน  2548"	1	0	1	0	0	"09/20/05 00:00:00"											0							
"2516/2548"	"ฟ้องศาล    20  กันยายน  2548"	1	0	1	0	0	"09/20/05 00:00:00"											0							
"2640/2548"	"ฟ้องศาล    20  กันยายน  2548"	1	0	1	0	0	"09/19/05 00:00:00"											0							
"2678/2548"	"ฟ้องศาล    20  กันยายน  2548"	1	0	1	0	0	"09/16/05 00:00:00"											0							
"1810/2548"	"ฟ้องศาล    29  มิถุนายน  2548"	1	0	1	0	0	"06/28/05 00:00:00"											0							
"2679/2548"	"ฟ้องศาล    20  กันยายน  2548"	1	0	1	0	0	"09/20/05 00:00:00"											0							
"2680/2545"	"ฟ้องศาล    20  กันยายน  2548"	0	0	1	0	0	"09/19/05 00:00:00"											0							
"2729/2548"	"ฟ้องศาล    20  กันยายน  2548"	0	1	1	0	0	"09/20/05 00:00:00"											0							
"2708/2548"	"ฟ้องศาล  16  กันยายน  2548"	0	1	0	0	0												0							
"ว.2308/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/19/05 00:00:00"		"10/27/05 00:00:00"									0							
"ว.2309/2548"	"ฟ้องศาล"	3	1	4	0	0	"09/19/05 00:00:00"											0							
"ว.2323/2548"	"ฟ้องศาล"	1	0	1	0	0												0							
"ว.2315/2548"	"ฟ้องศาล"	1	3	4	0	0	"09/19/05 00:00:00"											0							
"ว.2317/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/19/05 00:00:00"											0							
"ว.2318/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/19/05 00:00:00"											0							
"ว.2324/2548"	"ฟ้องศาล"	1	6	7	0	0	"09/19/05 00:00:00"											0							
"ว.2311/2548"	"ฟ้องศาล"	4	0	4	0	0	"09/19/05 00:00:00"											0							
"ว.2314/2548"	"ฟ้องศาล"	0	4	4	0	0	"09/19/05 00:00:00"											0							
"1811/2548"	"ฟ้องศาล    1  กรกฎาคม  2548"	1	0	1	0	0	"07/01/05 00:00:00"											0							
"ว.2291/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/16/05 00:00:00"											0							
"2630/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/12/05 00:00:00"											0							
"2650/2548"	"ฟ้องศาล    21  กันยายน  25478"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2651/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/14/05 00:00:00"											0							
"2681/2548"	"ฟ้องศาล    21  กันยายน  2548"	0	1	1	0	0	"09/15/05 00:00:00"											0							
"2687/2548"	"ฟ้องศาล    21  กันยายน  2548"	0	1	1	0	0	"09/16/05 00:00:00"											0							
"2702/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/20/05 00:00:00"											0							
"2730/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/21/05 00:00:00"											0							
"2731/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/21/05 00:00:00"											0							
"2732/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/21/05 00:00:00"											0							
"2733/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/21/05 00:00:00"											0							
"2734/2548"	"ฟ้องศาล    21  กันยายน  2548"	2	0	1	0	0	"09/21/05 00:00:00"											0							
"2735/2548"	"ฟ้องศาล    21  กันยายน  2548"	1	0	1	0	0	"09/21/05 00:00:00"											0							
"ว.1347/2548"	"ฟ้องศาล"	1	1	2	0	0	"05/24/05 00:00:00"		"06/06/05 00:00:00"									0							
"ว.1368/2548"	"ฟ้องศาล"	1	0	1	0	0	"05/26/05 00:00:00"		"06/06/05 00:00:00"									0							
"2475/2548"	"ฟ้องศาล    22  กันยายน  2548"	1	0	1	0	0	"09/20/05 00:00:00"											0							
"2682/2548"	"ฟ้องศาล    22  กันยายน  2548"	0	3	1	0	0	"09/22/05 00:00:00"											0							
"2710/2548"	"ฟ้องศาล    22  กันยายน  2548"	0	1	1	0	0	"09/21/05 00:00:00"											0							
"2713/2548"	"ฟ้องศาล    22  กันยายน  2548"	1	0	1	0	0	"09/22/05 00:00:00"											0							
"2736/2548"	"ฟ้องศาล    23  กันยายน  2548"	1	0	1	0	0	"09/22/05 00:00:00"											0							
"1812/2548"	"ฟ้องศาล    1  กรกฎาคม  2548"	0	1	1	0	0	"07/01/05 00:00:00"											0							
"ว.2344/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/22/05 00:00:00"											0							
"2737/2548"	"ฟ้องศาล    22  กันยายน  2548"	1	0	1	0	0	"09/22/05 00:00:00"											0							
"ว.2345/2548"	"ฟ้องศาล"	3	0	3	0	0	"09/22/05 00:00:00"											0							
"2748/2548"	"ฟ้องศาล    22  กันยายน  2548"	0	1	1	0	0	"09/22/05 00:00:00"											0							
"ว.2346/2548"	"ฟ้องศาล"	2	2	4	0	0	"09/22/05 00:00:00"											0							
"ว.2347/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/22/05 00:00:00"											0							
"ว.2348/2548"	"ฟ้องศาล"	5	0	5	0	0	"09/22/05 00:00:00"											0							
"ว.2349/2548"	"ฟ้องศาล"	6	0	6	0	0	"09/22/05 00:00:00"											0							
"2759/2548"	"ฟ้องศาล 23  กันยายน  2548"	1	0	0	0	0												0							
"2761/2548"	"ฟ้องศาล  23 กันยายน  2548"	0	2	0	0	0												0							
"2660/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"2661/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"2653/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"2652/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"2656/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"2657/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"2659/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"2658/2548"	"ฟ้องศาล  23  กันยายน  2548"	1	0	0	0	0												0							
"1813/2548"	"ฟ้องศาล    1  กรกฎาคม  2548"	0	1	1		0	"07/01/05 00:00:00"											0							
"ว.2342/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/21/05 00:00:00"											0							
"ว.2328/2548"	"ฟ้องศาล"	5	0	5	0	0	"09/20/05 00:00:00"											0							
"ว.2333/2548"	"ฟ้องศาล"	0	1	1	0	0	"09/20/05 00:00:00"											0							
"ว.2337/2548"	"ฟ้องศาล"	2	0	2	0	0	"09/21/05 00:00:00"											0							
"ว.2335/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/20/05 00:00:00"											0							
"ว.2341/2548"	"ฟ้องศาล"	1	0	1	0	0	"09/21/05 00:00:00"											0							
